creator,genre,topic_id,n,share,label,political
@ABCNews,streams,124,1,0.001694915254237288,JD Vance and Iran negotiations,True
@ABCNews,streams,129,1,0.001694915254237288,Megyn Kelly and Political Media,True
@ABCNews,streams,130,2,0.003389830508474576,Hillary Clinton Epstein Testimony,True
@ABCNews,streams,143,4,0.006779661016949152,RFK Jr. testifies on HHS and Senate,True
@ABCNews,streams,145,1,0.001694915254237288,Trump Ballroom Construction Controversy,True
@ABCNews,streams,150,1,0.001694915254237288,Super Bowl Halftime Show Controversy,True
@ABCNews,streams,151,8,0.013559322033898305,Vice President JD Vance Remarks,True
@ABCNews,streams,152,5,0.00847457627118644,LaGuardia Plane Crash Investigation,False
@ABCNews,streams,154,2,0.003389830508474576,Anti-Trump Protests and Riots,True
@ABCNews,streams,156,1,0.001694915254237288,Kamala Harris 2028 Election Speculation,True
@ABCNews,streams,157,10,0.01694915254237288,Melania Trump Events and Participation,True
@ABCNews,streams,162,1,0.001694915254237288,Eric Swalwell Allegations and Resignation,True
@ABCNews,streams,164,2,0.003389830508474576,Winter Storm Impact on US,False
@ABCNews,streams,168,2,0.003389830508474576,Spirit Airlines shutdown and airline industry impact,False
@ABCNews,streams,169,1,0.001694915254237288,Rob Reiner murder and political backlash,True
@ABCNews,streams,172,8,0.013559322033898305,G7 Summit and Macron-Trump Bilateral Meetings,True
@ABCNews,streams,173,1,0.001694915254237288,Hantavirus outbreak on cruise ship,False
@ABCNews,streams,174,3,0.005084745762711864,Knicks NBA Finals and Trump controversies,True
@ABCNews,streams,180,1,0.001694915254237288,Trump and American Farmers,True
@ABCNews,streams,186,2,0.003389830508474576,Treasury Secretary Scott Bessent testifies,True
@ABCNews,streams,187,1,0.001694915254237288,Comedy and Cultural Debate,True
@ABCNews,streams,190,2,0.003389830508474576,Markwayne Mullin DHS confirmation hearing,True
@ABCNews,streams,192,2,0.003389830508474576,Christmas and Trump,True
@ABCNews,streams,194,15,0.025423728813559324,Medal of Honor Ceremonies,True
@ABCNews,streams,203,12,0.020338983050847456,Trump Iran War Briefings,True
@ABCNews,streams,206,1,0.001694915254237288,FBI and Jan 6 Pipe Bomb Case,True
@ABCNews,streams,207,1,0.001694915254237288,Jack Smith Testifies on Trump Investigations,True
@ABCNews,streams,208,1,0.001694915254237288,Comey Indictment by DOJ,True
@ABCNews,streams,211,1,0.001694915254237288,Alex Jones and Katie Phang Updates,True
@ABCNews,streams,213,3,0.005084745762711864,San Diego Mosque Shooting,True
@ABCNews,streams,216,2,0.003389830508474576,Tupac Murder Trial,True
@ABCNews,streams,219,10,0.01694915254237288,Trump signing executive orders,True
@ABCNews,streams,223,1,0.001694915254237288,Yearly Predictions and Reviews,False
@ABCNews,streams,224,259,0.43898305084745765,Political Media Broadcasters,True
@ABCNews,videos,0,598,0.07502195458537197,Iran War and Strait of Hormuz Tensions,True
@ABCNews,videos,1,3,0.0003763643206624012,Shocking Events and Reactions,True
@ABCNews,videos,2,39,0.004892736168611215,Israel-Palestine Conflict Media,True
@ABCNews,videos,3,123,0.015430937147158449,ICE Protests and Shootings,True
@ABCNews,videos,4,83,0.0104127462049931,Ukraine-Russia War and Political Figures,True
@ABCNews,videos,5,47,0.005896374357044286,Trump Supreme Court Legal Issues,True
@ABCNews,videos,6,40,0.00501819094216535,Trump and China political relations,True
@ABCNews,videos,7,122,0.015305482373604316,Trump vs Maduro Venezuela Conflict,True
@ABCNews,videos,8,34,0.004265462300840547,Epstein Files Political Connections,True
@ABCNews,videos,9,101,0.012670932128967508,AI and Political Concerns,True
@ABCNews,videos,10,16,0.00200727637686614,Zohran Mamdani and NYC Politics,True
@ABCNews,videos,11,176,0.022080040145527537,Hollywood and Oscars Politics,True
@ABCNews,videos,12,17,0.0021327311504202736,Canada-US Political Tensions,True
@ABCNews,videos,13,16,0.00200727637686614,Modern Women and Feminism Debate,True
@ABCNews,videos,14,25,0.0031363693388533434,Pete Hegseth and Iran War,True
@ABCNews,videos,15,15,0.001881821603312006,Charlie Kirk murder trial,True
@ABCNews,videos,16,17,0.0021327311504202736,California Election Fraud Scandal,True
@ABCNews,videos,17,12,0.0015054572826496049,2026 Midterm Election Predictions,True
@ABCNews,videos,18,189,0.023710952201731274,Lindsay Clancy Murder Trial,False
@ABCNews,videos,19,79,0.009910927110776565,America's 250th Anniversary and Founding History,True
@ABCNews,videos,20,1,0.00012545477355413375,Indian Politics and Parliament,True
@ABCNews,videos,21,6,0.0007527286413248024,Trump and Epstein Files Scandal,True
@ABCNews,videos,22,10,0.0012545477355413374,Christian Nationalism and Politics,True
@ABCNews,videos,24,4,0.000501819094216535,Trump Meltdowns and Collapses,True
@ABCNews,videos,25,29,0.0036381884330698782,Immigration and Deportation Policies,True
@ABCNews,videos,26,48,0.0060218291305984195,White House Correspondents Dinner Shooting,True
@ABCNews,videos,27,57,0.007150922092585623,Trump and Greenland politics,True
@ABCNews,videos,28,5,0.0006272738677706687,UK PM Keir Starmer Resignation Calls,True
@ABCNews,videos,29,49,0.006147283904152553,Cuba-US Political Tensions,True
@ABCNews,videos,30,26,0.003261824112407477,Pam Bondi and Epstein Files Scandal,True
@ABCNews,videos,31,15,0.001881821603312006,Candace Owens and Erika Kirk Controversy,True
@ABCNews,videos,32,113,0.014176389411617111,Artemis II Moon Mission Updates,False
@ABCNews,videos,33,15,0.001881821603312006,Elon Musk and Political Influence,True
@ABCNews,videos,35,22,0.002760005018190942,Lindsey Graham's Funeral and Legacy,True
@ABCNews,videos,36,5,0.0006272738677706687,JD Vance and Trump Political Conflict,True
@ABCNews,videos,37,1,0.00012545477355413375,Islam and Political Discourse,True
@ABCNews,videos,38,48,0.0060218291305984195,Israel-Lebanon Conflict and Ceasefire Talks,True
@ABCNews,videos,39,63,0.007903650733910425,Trump and Rising Energy Prices,True
@ABCNews,videos,40,24,0.0030109145652992097,Trump's speeches and events,True
@ABCNews,videos,41,71,0.008907288922343496,Big Pharma and Health Scams,True
@ABCNews,videos,42,31,0.003889097980178146,War and Military Analysis,True
@ABCNews,videos,43,45,0.005645464809936018,Trump slush fund scandal,True
@ABCNews,videos,44,29,0.0036381884330698782,Trump State of the Union Address,True
@ABCNews,videos,45,16,0.00200727637686614,Kristi Noem Firing by Trump,True
@ABCNews,videos,46,2,0.0002509095471082675,MAGA Movement Decline,True
@ABCNews,videos,47,25,0.0031363693388533434,UFO Government Disclosure,True
@ABCNews,videos,48,1,0.00012545477355413375,Hasanabi Reacts to Hasan,True
@ABCNews,videos,49,20,0.002509095471082675,Race and Politics in Media,True
@ABCNews,videos,50,12,0.0015054572826496049,Texas Senate race and political figures,True
@ABCNews,videos,51,64,0.00802910550746456,Minneapolis political unrest and federal response,True
@ABCNews,videos,52,16,0.00200727637686614,Fauci Senate Testimony Controversy,True
@ABCNews,videos,53,15,0.001881821603312006,Graham Platner Senate Race Allegations,True
@ABCNews,videos,54,1,0.00012545477355413375,Destiny and Ethan Klein debates,False
@ABCNews,videos,55,2,0.0002509095471082675,UK politics and Reform UK,True
@ABCNews,videos,56,192,0.024087316522393678,Nancy Guthrie Disappearance Investigation,False
@ABCNews,videos,57,19,0.002383640697528541,Supreme Court and Birthright Citizenship,True
@ABCNews,videos,58,6,0.0007527286413248024,Somali fraud scandal in Minnesota,True
@ABCNews,videos,59,141,0.017689123071132858,Iran Conflict and Political Updates,True
@ABCNews,videos,60,20,0.002509095471082675,Trump's War and Draft,True
@ABCNews,videos,61,3,0.0003763643206624012,Gavin Newsom Political Controversies,True
@ABCNews,videos,62,9,0.0011290929619872036,Trump Resignation and Leaks,True
@ABCNews,videos,63,6,0.0007527286413248024,Don Lemon Arrested,True
@ABCNews,videos,64,11,0.001380002509095471,Transgender Rights and Politics,True
@ABCNews,videos,65,35,0.004390917074394681,Climate and Weather Politics,True
@ABCNews,videos,66,29,0.0036381884330698782,Todd Blanche Attorney General Confirmation,True
@ABCNews,videos,67,26,0.003261824112407477,Trump's Economic Impact,True
@ABCNews,videos,68,54,0.006774557771923222,9/11 Remembered 25 Years Later,True
@ABCNews,videos,69,22,0.002760005018190942,Virginia redistricting and gerrymandering,True
@ABCNews,videos,70,41,0.005143645715719483,Karmelo Anthony Trial Verdict,True
@ABCNews,videos,71,16,0.00200727637686614,Marco Rubio Testifies on Iran War,True
@ABCNews,videos,72,31,0.003889097980178146,Trump and FIFA World Cup controversy,True
@ABCNews,videos,73,2,0.0002509095471082675,Left Wing Political Violence,True
@ABCNews,videos,74,46,0.005770919583490151,2026 US Primary Elections,True
@ABCNews,videos,75,169,0.021201856730648602,Brown University Mass Shooting,False
@ABCNews,videos,76,29,0.0036381884330698782,Nolan Wells Investigation,False
@ABCNews,videos,77,3,0.0003763643206624012,Socialism and Democratic Party Conflict,True
@ABCNews,videos,78,67,0.00840546982812696,Covid Vaccine Controversy,True
@ABCNews,videos,79,3,0.0003763643206624012,Brian Shapiro vs MAGA Callers Debate,True
@ABCNews,videos,80,5,0.0006272738677706687,Black Voting Rights and Political Representation,True
@ABCNews,videos,81,3,0.0003763643206624012,Karoline Leavitt White House Press Briefing,True
@ABCNews,videos,82,128,0.01605821101492912,Wildfires and Firefighters Response,False
@ABCNews,videos,83,11,0.001380002509095471,AI Data Centers and Political Debate,True
@ABCNews,videos,84,3,0.0003763643206624012,Ilhan Omar Criminal Investigation,True
@ABCNews,videos,85,2,0.0002509095471082675,Political Media and Trump Controversies,True
@ABCNews,videos,86,3,0.0003763643206624012,Sneako and Political Interviews,True
@ABCNews,videos,87,27,0.003387278885961611,California fraud investigation,True
@ABCNews,videos,88,86,0.010789110525655501,DHS Funding Shutdown Debate,True
@ABCNews,videos,89,3,0.0003763643206624012,Kash Patel and FBI Controversies,True
@ABCNews,videos,90,18,0.002258185923974407,Marc Lamont Hill and Joe Budden Podcast Controversy,True
@ABCNews,videos,91,20,0.002509095471082675,Trump and NATO Relations,True
@ABCNews,videos,93,51,0.00639819345126082,Olympics and Team USA Politics,True
@ABCNews,videos,94,4,0.000501819094216535,Abdul El-Sayed Senate Primary Victory,True
@ABCNews,videos,95,23,0.0028854597917450757,Tech Business and Startups,False
@ABCNews,videos,96,35,0.004390917074394681,Supreme Court and Trump Tariffs,True
@ABCNews,videos,97,30,0.003763643206624012,Healthcare Affordability and Policy,True
@ABCNews,videos,98,20,0.002509095471082675,JLP Weekly Series,False
@ABCNews,videos,99,39,0.004892736168611215,Abortion and Pregnancy Policies,True
@ABCNews,videos,100,5,0.0006272738677706687,Media and Journalism Critique,True
@ABCNews,videos,101,15,0.001881821603312006,Trump UFC White House Event,True
@ABCNews,videos,102,7,0.0008781834148789362,Political Media Figures,True
@ABCNews,videos,103,7,0.0008781834148789362,Hunter Biden and Joe Biden controversies,True
@ABCNews,videos,104,1,0.00012545477355413375,MAGA Supporters and Arguments,True
@ABCNews,videos,105,12,0.0015054572826496049,Spencer Pratt LA Mayoral Campaign,True
@ABCNews,videos,107,1,0.00012545477355413375,AOC on the World Stage,True
@ABCNews,videos,108,15,0.001881821603312006,Trump Reflecting Pool Scandal,True
@ABCNews,videos,110,9,0.0011290929619872036,Tim Walz and Minnesota Fraud Scandal,True
@ABCNews,videos,111,3,0.0003763643206624012,HasanAbi 2026 Schedule,False
@ABCNews,videos,112,28,0.0035127336595157446,WNBA and Sophie Cunningham controversy,True
@ABCNews,videos,113,10,0.0012545477355413374,Trump's Health Concerns,True
@ABCNews,videos,114,46,0.005770919583490151,Education and Schools in Political Context,True
@ABCNews,videos,115,1,0.00012545477355413375,PM Modi and BRICS Diplomacy,True
@ABCNews,videos,116,21,0.0026345502446368085,TikTok Censorship and Politics,True
@ABCNews,videos,117,16,0.00200727637686614,SAVE Act and Senate Debate,True
@ABCNews,videos,118,18,0.002258185923974407,Federal Reserve Chair Kevin Warsh and Interest Rates,True
@ABCNews,videos,119,1,0.00012545477355413375,UK Prime Minister Andy Burnham,True
@ABCNews,videos,120,5,0.0006272738677706687,Hakeem Jeffries News Conferences,True
@ABCNews,videos,121,37,0.004641826621502948,Rev Jesse Jackson and Civil Rights Legacy,True
@ABCNews,videos,122,32,0.00401455275373228,King Charles III and Trump interactions,True
@ABCNews,videos,123,10,0.0012545477355413374,Wealth Tax and Billionaires,True
@ABCNews,videos,124,16,0.00200727637686614,JD Vance and Iran negotiations,True
@ABCNews,videos,125,70,0.008781834148789362,Walmart Shoplifting and Police Incidents,False
@ABCNews,videos,126,6,0.0007527286413248024,Erika Kirk Controversy,True
@ABCNews,videos,127,7,0.0008781834148789362,Melania Trump Conspiracy Theories,True
@ABCNews,videos,128,15,0.001881821603312006,Gen Z and Boomers Political Apathy,True
@ABCNews,videos,129,3,0.0003763643206624012,Megyn Kelly and Political Media,True
@ABCNews,videos,130,40,0.00501819094216535,Hillary Clinton Epstein Testimony,True
@ABCNews,videos,131,4,0.000501819094216535,UK Political Chaos and Government Issues,True
@ABCNews,videos,132,7,0.0008781834148789362,Political Podcasts and Commentary,True
@ABCNews,videos,134,3,0.0003763643206624012,Piers Morgan and Guests on Political Topics,True
@ABCNews,videos,135,2,0.0002509095471082675,Political War Room and Figures,True
@ABCNews,videos,136,15,0.001881821603312006,Trump Midterm Election Rigging,True
@ABCNews,videos,137,7,0.0008781834148789362,Mitch McConnell Health Rumors,True
@ABCNews,videos,138,73,0.009158198469451763,Venezuela Earthquake Disaster,False
@ABCNews,videos,139,4,0.000501819094216535,Bill Maher Political Commentary,True
@ABCNews,videos,140,19,0.002383640697528541,Crypto and Politics Scandal,True
@ABCNews,videos,141,16,0.00200727637686614,Homelessness and Socialist Mayors in US Cities,True
@ABCNews,videos,142,23,0.0028854597917450757,Transgender Athletes in Women's Sports,True
@ABCNews,videos,143,5,0.0006272738677706687,RFK Jr. testifies on HHS and Senate,True
@ABCNews,videos,145,19,0.002383640697528541,Trump Ballroom Construction Controversy,True
@ABCNews,videos,146,14,0.0017563668297578723,Sudan Civil War and Africa Politics,True
@ABCNews,videos,147,4,0.000501819094216535,SPLC Indictment and Hate Groups,True
@ABCNews,videos,148,30,0.003763643206624012,2026 World Cup,False
@ABCNews,videos,149,21,0.0026345502446368085,Mexico Cartel Violence,True
@ABCNews,videos,150,13,0.0016309120562037385,Super Bowl Halftime Show Controversy,True
@ABCNews,videos,151,8,0.00100363818843307,Vice President JD Vance Remarks,True
@ABCNews,videos,152,205,0.025718228578597416,LaGuardia Plane Crash Investigation,False
@ABCNews,videos,153,44,0.005520010036381884,Members Only Show,True
@ABCNews,videos,154,35,0.004390917074394681,Anti-Trump Protests and Riots,True
@ABCNews,videos,156,14,0.0017563668297578723,Kamala Harris 2028 Election Speculation,True
@ABCNews,videos,157,12,0.0015054572826496049,Melania Trump Events and Participation,True
@ABCNews,videos,159,5,0.0006272738677706687,No Kings Protests Movement,True
@ABCNews,videos,160,8,0.00100363818843307,Ceuta Migration Crisis,True
@ABCNews,videos,161,9,0.0011290929619872036,Tulsi Gabbard Resignation and Controversies,True
@ABCNews,videos,162,16,0.00200727637686614,Eric Swalwell Allegations and Resignation,True
@ABCNews,videos,163,8,0.00100363818843307,Trump's Mental Health Decline,True
@ABCNews,videos,164,224,0.028101869276125957,Winter Storm Impact on US,False
@ABCNews,videos,165,30,0.003763643206624012,Alex Pretti Shooting and Federal Agents,True
@ABCNews,videos,166,6,0.0007527286413248024,Thomas Massie political defeat,True
@ABCNews,videos,167,3,0.0003763643206624012,Stephen Miller and Trump Scandal,True
@ABCNews,videos,168,78,0.00978547233722243,Spirit Airlines shutdown and airline industry impact,False
@ABCNews,videos,169,34,0.004265462300840547,Rob Reiner murder and political backlash,True
@ABCNews,videos,170,15,0.001881821603312006,Bondi Beach Terror Attack,True
@ABCNews,videos,171,13,0.0016309120562037385,Andrew Tate Arrest and Legal Issues,True
@ABCNews,videos,172,21,0.0026345502446368085,G7 Summit and Macron-Trump Bilateral Meetings,True
@ABCNews,videos,173,86,0.010789110525655501,Hantavirus outbreak on cruise ship,False
@ABCNews,videos,174,76,0.009534562790114163,Knicks NBA Finals and Trump controversies,True
@ABCNews,videos,176,24,0.0030109145652992097,Trump inflation crisis,True
@ABCNews,videos,177,2,0.0002509095471082675,Alex Jones and InfoWars political controversy,True
@ABCNews,videos,178,1,0.00012545477355413375,CNN and Political Conflict,True
@ABCNews,videos,179,20,0.002509095471082675,Trump feud with Pope Leo,True
@ABCNews,videos,180,11,0.001380002509095471,Trump and American Farmers,True
@ABCNews,videos,181,1,0.00012545477355413375,Bari Weiss and CBS News Controversy,True
@ABCNews,videos,182,29,0.0036381884330698782,MAGA backlash over Iran war,True
@ABCNews,videos,183,2,0.0002509095471082675,Joe Kent Resignation and Iran War Scandal,True
@ABCNews,videos,184,32,0.00401455275373228,Housing Policy and Politics,True
@ABCNews,videos,185,3,0.0003763643206624012,Behind the scenes streaming,False
@ABCNews,videos,186,5,0.0006272738677706687,Treasury Secretary Scott Bessent testifies,True
@ABCNews,videos,187,17,0.0021327311504202736,Comedy and Cultural Debate,True
@ABCNews,videos,188,47,0.005896374357044286,NYC Terror Plot Exposures,True
@ABCNews,videos,190,9,0.0011290929619872036,Markwayne Mullin DHS confirmation hearing,True
@ABCNews,videos,191,41,0.005143645715719483,Political Commentary and Interviews,True
@ABCNews,videos,192,32,0.00401455275373228,Christmas and Trump,True
@ABCNews,videos,193,2,0.0002509095471082675,DSA and Democratic Party Conflict,True
@ABCNews,videos,194,25,0.0031363693388533434,Medal of Honor Ceremonies,True
@ABCNews,videos,195,1,0.00012545477355413375,Trump and Natalie Harp Connection,True
@ABCNews,videos,196,3,0.0003763643206624012,Belfast riots and anti-migrant unrest,True
@ABCNews,videos,197,21,0.0026345502446368085,Marijuana Policy and Politics,True
